row,col,.value,header_group_05,header_group_04,header_group_02,header_group_01
8,2,2089,NSW,Aboriginal and Torres Strait Islander,Males,Sentenced 
8,3,421,Vic.,Aboriginal and Torres Strait Islander,Males,Sentenced 
8,4,2400,Qld.,Aboriginal and Torres Strait Islander,Males,Sentenced 
8,5,337,SA,Aboriginal and Torres Strait Islander,Males,Sentenced 
8,6,1654,WA,Aboriginal and Torres Strait Islander,Males,Sentenced 
8,7,97,Tas.,Aboriginal and Torres Strait Islander,Males,Sentenced 
8,8,1057,NT,Aboriginal and Torres Strait Islander,Males,Sentenced 
8,9,56,ACT,Aboriginal and Torres Strait Islander,Males,Sentenced 
8,10,8112,Aust.,Aboriginal and Torres Strait Islander,Males,Sentenced 
9,2,1727,NSW,Aboriginal and Torres Strait Islander,Males,Unsentenced 
9,3,278,Vic.,Aboriginal and Torres Strait Islander,Males,Unsentenced 
9,4,1308,Qld.,Aboriginal and Torres Strait Islander,Males,Unsentenced 
9,5,420,SA,Aboriginal and Torres Strait Islander,Males,Unsentenced 
9,6,1406,WA,Aboriginal and Torres Strait Islander,Males,Unsentenced 
9,7,76,Tas.,Aboriginal and Torres Strait Islander,Males,Unsentenced 
9,8,846,NT,Aboriginal and Torres Strait Islander,Males,Unsentenced 
9,9,61,ACT,Aboriginal and Torres Strait Islander,Males,Unsentenced 
9,10,6124,Aust.,Aboriginal and Torres Strait Islander,Males,Unsentenced 
10,2,3815,NSW,Aboriginal and Torres Strait Islander,Males,Total
10,3,702,Vic.,Aboriginal and Torres Strait Islander,Males,Total
10,4,3726,Qld.,Aboriginal and Torres Strait Islander,Males,Total
10,5,755,SA,Aboriginal and Torres Strait Islander,Males,Total
10,6,3072,WA,Aboriginal and Torres Strait Islander,Males,Total
10,7,172,Tas.,Aboriginal and Torres Strait Islander,Males,Total
10,8,1903,NT,Aboriginal and Torres Strait Islander,Males,Total
10,9,123,ACT,Aboriginal and Torres Strait Islander,Males,Total
10,10,14270,Aust.,Aboriginal and Torres Strait Islander,Males,Total
12,2,172,NSW,Aboriginal and Torres Strait Islander,Females,Sentenced 
12,3,19,Vic.,Aboriginal and Torres Strait Islander,Females,Sentenced 
12,4,281,Qld.,Aboriginal and Torres Strait Islander,Females,Sentenced 
12,5,31,SA,Aboriginal and Torres Strait Islander,Females,Sentenced 
12,6,194,WA,Aboriginal and Torres Strait Islander,Females,Sentenced 
12,7,11,Tas.,Aboriginal and Torres Strait Islander,Females,Sentenced 
12,8,43,NT,Aboriginal and Torres Strait Islander,Females,Sentenced 
12,9,5,ACT,Aboriginal and Torres Strait Islander,Females,Sentenced 
12,10,746,Aust.,Aboriginal and Torres Strait Islander,Females,Sentenced 
13,2,206,NSW,Aboriginal and Torres Strait Islander,Females,Unsentenced 
13,3,16,Vic.,Aboriginal and Torres Strait Islander,Females,Unsentenced 
13,4,238,Qld.,Aboriginal and Torres Strait Islander,Females,Unsentenced 
13,5,63,SA,Aboriginal and Torres Strait Islander,Females,Unsentenced 
13,6,238,WA,Aboriginal and Torres Strait Islander,Females,Unsentenced 
13,7,9,Tas.,Aboriginal and Torres Strait Islander,Females,Unsentenced 
13,8,77,NT,Aboriginal and Torres Strait Islander,Females,Unsentenced 
13,9,3,ACT,Aboriginal and Torres Strait Islander,Females,Unsentenced 
13,10,852,Aust.,Aboriginal and Torres Strait Islander,Females,Unsentenced 
14,2,375,NSW,Aboriginal and Torres Strait Islander,Females,Total
14,3,29,Vic.,Aboriginal and Torres Strait Islander,Females,Total
14,4,513,Qld.,Aboriginal and Torres Strait Islander,Females,Total
14,5,93,SA,Aboriginal and Torres Strait Islander,Females,Total
14,6,437,WA,Aboriginal and Torres Strait Islander,Females,Total
14,7,21,Tas.,Aboriginal and Torres Strait Islander,Females,Total
14,8,118,NT,Aboriginal and Torres Strait Islander,Females,Total
14,9,12,ACT,Aboriginal and Torres Strait Islander,Females,Total
14,10,1605,Aust.,Aboriginal and Torres Strait Islander,Females,Total
16,2,2257,NSW,Aboriginal and Torres Strait Islander,Persons,Sentenced 
16,3,441,Vic.,Aboriginal and Torres Strait Islander,Persons,Sentenced 
16,4,2680,Qld.,Aboriginal and Torres Strait Islander,Persons,Sentenced 
16,5,365,SA,Aboriginal and Torres Strait Islander,Persons,Sentenced 
16,6,1852,WA,Aboriginal and Torres Strait Islander,Persons,Sentenced 
16,7,107,Tas.,Aboriginal and Torres Strait Islander,Persons,Sentenced 
16,8,1099,NT,Aboriginal and Torres Strait Islander,Persons,Sentenced 
16,9,63,ACT,Aboriginal and Torres Strait Islander,Persons,Sentenced 
16,10,8863,Aust.,Aboriginal and Torres Strait Islander,Persons,Sentenced 
17,2,1933,NSW,Aboriginal and Torres Strait Islander,Persons,Unsentenced 
17,3,294,Vic.,Aboriginal and Torres Strait Islander,Persons,Unsentenced 
17,4,1539,Qld.,Aboriginal and Torres Strait Islander,Persons,Unsentenced 
17,5,489,SA,Aboriginal and Torres Strait Islander,Persons,Unsentenced 
17,6,1646,WA,Aboriginal and Torres Strait Islander,Persons,Unsentenced 
17,7,86,Tas.,Aboriginal and Torres Strait Islander,Persons,Unsentenced 
17,8,921,NT,Aboriginal and Torres Strait Islander,Persons,Unsentenced 
17,9,70,ACT,Aboriginal and Torres Strait Islander,Persons,Unsentenced 
17,10,6971,Aust.,Aboriginal and Torres Strait Islander,Persons,Unsentenced 
18,2,4188,NSW,Aboriginal and Torres Strait Islander,Persons,Total
18,3,729,Vic.,Aboriginal and Torres Strait Islander,Persons,Total
18,4,4243,Qld.,Aboriginal and Torres Strait Islander,Persons,Total
18,5,851,SA,Aboriginal and Torres Strait Islander,Persons,Total
18,6,3507,WA,Aboriginal and Torres Strait Islander,Persons,Total
18,7,194,Tas.,Aboriginal and Torres Strait Islander,Persons,Total
18,8,2023,NT,Aboriginal and Torres Strait Islander,Persons,Total
18,9,134,ACT,Aboriginal and Torres Strait Islander,Persons,Total
18,10,15871,Aust.,Aboriginal and Torres Strait Islander,Persons,Total
21,2,4752,NSW,Aboriginal and Torres Strait Islander,Males,Sentenced 
21,3,3230,Vic.,Aboriginal and Torres Strait Islander,Males,Sentenced 
21,4,3768,Qld.,Aboriginal and Torres Strait Islander,Males,Sentenced 
21,5,1393,SA,Aboriginal and Torres Strait Islander,Males,Sentenced 
21,6,2584,WA,Aboriginal and Torres Strait Islander,Males,Sentenced 
21,7,338,Tas.,Aboriginal and Torres Strait Islander,Males,Sentenced 
21,8,149,NT,Aboriginal and Torres Strait Islander,Males,Sentenced 
21,9,140,ACT,Aboriginal and Torres Strait Islander,Males,Sentenced 
21,10,16348,Aust.,Aboriginal and Torres Strait Islander,Males,Sentenced 
22,2,3480,NSW,Aboriginal and Torres Strait Islander,Males,Unsentenced 
22,3,1560,Vic.,Aboriginal and Torres Strait Islander,Males,Unsentenced 
22,4,2299,Qld.,Aboriginal and Torres Strait Islander,Males,Unsentenced 
22,5,953,SA,Aboriginal and Torres Strait Islander,Males,Unsentenced 
22,6,1354,WA,Aboriginal and Torres Strait Islander,Males,Unsentenced 
22,7,228,Tas.,Aboriginal and Torres Strait Islander,Males,Unsentenced 
22,8,107,NT,Aboriginal and Torres Strait Islander,Males,Unsentenced 
22,9,119,ACT,Aboriginal and Torres Strait Islander,Males,Unsentenced 
22,10,10100,Aust.,Aboriginal and Torres Strait Islander,Males,Unsentenced 
23,2,8225,NSW,Aboriginal and Torres Strait Islander,Males,Total
23,3,4787,Vic.,Aboriginal and Torres Strait Islander,Males,Total
23,4,6099,Qld.,Aboriginal and Torres Strait Islander,Males,Total
23,5,2349,SA,Aboriginal and Torres Strait Islander,Males,Total
23,6,3947,WA,Aboriginal and Torres Strait Islander,Males,Total
23,7,566,Tas.,Aboriginal and Torres Strait Islander,Males,Total
23,8,250,NT,Aboriginal and Torres Strait Islander,Males,Total
23,9,265,ACT,Aboriginal and Torres Strait Islander,Males,Total
23,10,26494,Aust.,Aboriginal and Torres Strait Islander,Males,Total
25,2,222,NSW,Aboriginal and Torres Strait Islander,Females,Sentenced 
25,3,139,Vic.,Aboriginal and Torres Strait Islander,Females,Sentenced 
25,4,275,Qld.,Aboriginal and Torres Strait Islander,Females,Sentenced 
25,5,66,SA,Aboriginal and Torres Strait Islander,Females,Sentenced 
25,6,231,WA,Aboriginal and Torres Strait Islander,Females,Sentenced 
25,7,22,Tas.,Aboriginal and Torres Strait Islander,Females,Sentenced 
25,8,3,NT,Aboriginal and Torres Strait Islander,Females,Sentenced 
25,9,3,ACT,Aboriginal and Torres Strait Islander,Females,Sentenced 
25,10,965,Aust.,Aboriginal and Torres Strait Islander,Females,Sentenced 
26,2,253,NSW,Aboriginal and Torres Strait Islander,Females,Unsentenced 
26,3,89,Vic.,Aboriginal and Torres Strait Islander,Females,Unsentenced 
26,4,263,Qld.,Aboriginal and Torres Strait Islander,Females,Unsentenced 
26,5,75,SA,Aboriginal and Torres Strait Islander,Females,Unsentenced 
26,6,129,WA,Aboriginal and Torres Strait Islander,Females,Unsentenced 
